pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
100,500,0.7,0.3,5,edg,reverse,2877560.563144446,3588.19411444664,4644502.177062762,4658438.711079125,4022193.2418777547,4035789.316716134,3539292.9172099233,3554382.6773388996,3184282.2946947287,3197424.4073242717,2877560.563144446,2891720.437316852
100,500,0.9,0.1,3,ordered,swap,3535713.375488474,886.7171907424927,4936356.325093182,4963498.833366112,4360168.143859205,4386877.385404051,4013169.7211626405,4030289.3221525867,3740780.360273186,3756554.558498264,3535713.375488474,3545485.76948596
100,500,0.9,0.1,3,ordered,reverse,3240557.637985892,858.4184877872467,4985893.595147015,5013734.788246931,4276424.713247108,4312499.4234435465,3869636.528473196,3890528.399537498,3546520.9536518175,3565045.3589020194,3240557.637985892,3260006.2823455846
100,500,0.9,0.1,3,edg,swap,3834884.761242585,9552.445441484451,4959051.695528966,5095041.397467534,4612037.928246568,4726450.49069336,4459792.8754433775,4638964.55869093,4127480.440586693,4156883.886361367,3834884.761242585,3977641.9853352183
100,500,0.9,0.1,3,edg,reverse,3963710.4519532626,16922.653341531754,4905487.59130166,5050550.026115048,4542394.830039014,4615755.833563427,4460886.683552896,4496697.449108808,4180753.4037283477,4186825.4248514925,3963710.4519532626,4040812.934715168
100,500,0.9,0.1,5,ordered,swap,3473103.1357632177,1906.3674619197845,4860262.080063822,4882781.750208234,4315498.805748432,4319826.977177926,3985619.068246327,3993636.3327900046,3699869.4895924944,3712949.030936659,3473103.1357632177,3479718.6384486197
100,500,0.9,0.1,5,ordered,reverse,3024813.038919731,1902.6187546253204,4584450.220075669,4630917.862328109,3999100.9278433565,4024803.8608498597,3579900.78600992,3601722.296978364,3267853.072044311,3279967.075644328,3024813.038919731,3037194.093725624
100,500,0.9,0.1,5,edg,swap,3046450.152653583,9982.757350444794,4718727.971790962,4795258.743306361,4144251.712034087,4185894.5468037548,3743537.959130781,3789500.2903573154,3357144.285932771,3372495.0528072156,3046450.152653583,3058545.749063986
100,500,0.9,0.1,5,edg,reverse,2976919.997642222,9075.525894403458,4534133.074953937,4564301.449557483,4009555.0702211265,4016954.020937367,3628265.214607777,3641218.316722149,3240593.71823003,3248295.849755572,2976919.997642222,2984112.3722315347
100,500,0.9,0.3,3,ordered,swap,3488658.389848993,1905.0914931297302,4875181.736402097,4916795.712385923,4311828.370346703,4333527.824491357,3939365.533742216,3957153.9521014504,3703391.698919643,3722286.3849117053,3488658.389848993,3514955.0394899137
100,500,0.9,0.3,3,ordered,reverse,3214639.3014240447,1899.3688073158264,4755816.095804561,4807990.103383787,4110564.897574439,4136369.29565748,3705119.343758392,3737368.4327138513,3412232.194891406,3460345.483367503,3214639.3014240447,3232038.6263279784
100,500,0.9,0.3,3,edg,swap,3993274.396010261,17089.40234375,4794245.4019983,4948849.636141457,4495535.151229193,4564052.024242998,4311641.72684096,4496186.552894389,4156985.598703359,4230038.715019738,3993274.396010261,4017906.0239317496
100,500,0.9,0.3,3,edg,reverse,3945954.9813530575,14364.857232093811,4958204.405867207,5104096.620830601,4665160.306319888,4771073.573769455,4492944.45546863,4597104.589988534,4210551.6262856545,4273813.800479445,3945954.9813530575,4045335.88850744
100,500,0.9,0.3,5,ordered,swap,3300957.19667333,904.7421581745148,4731494.094846213,4762731.338879141,4144379.5642957943,4173134.448749401,3780034.212689787,3804457.3110239045,3495862.417678454,3511709.130247203,3300957.19667333,3311533.747868632
100,500,0.9,0.3,5,ordered,reverse,2887791.243777052,925.6434595584869,4621019.477109362,4664595.980754393,3920216.0829833127,3946384.9340487975,3497282.2452986874,3509375.365054869,3163401.230937034,3181884.766846834,2887791.243777052,2906048.931842163
100,500,0.9,0.3,5,edg,swap,2904644.958045474,5254.1394739151,4585955.58717629,4675623.345340213,4010128.6715607713,4042824.7177246506,3584271.6663208273,3624794.6310898634,3220008.2708907155,3235191.0073532043,2904644.958045474,2917861.3284688
100,500,0.9,0.3,5,edg,reverse,2912015.3674033796,4823.600988149643,4581316.456950863,4635252.451802527,3996164.3177689,4013469.129536616,3545489.416863571,3571805.3107477264,3188859.286921144,3198236.9028156586,2912015.3674033796,2924406.308572871
